case,variant,K,N,ncols_dst,fused,median_ms,p10_ms,p90_ms,gbps_weight,gbps_total,regs,occ_blocks
ffn_down,V0,17408,5120,1,0,0.14232,0.139679,0.148119,161.457,161.738,76,64
ffn_down,E1,17408,5120,1,0,0.141401,0.138401,0.142201,162.506,162.79,76,64
ffn_down,E2,17408,5120,1,0,0.14184,0.139521,0.143361,162.003,162.286,76,64
ffn_down,E3,17408,5120,1,0,0.141361,0.138441,0.143521,162.552,162.836,76,64
ffn_gateup,V0,5120,17408,1,1,0.251922,0.247801,0.260362,182.426,182.725,33,64
ffn_gateup,E1,5120,17408,1,1,0.250722,0.248602,0.255801,183.299,183.6,33,64
ffn_gateup,E2,5120,17408,1,1,0.254403,0.250723,0.259682,180.647,180.943,35,64
ffn_gateup,E3,5120,17408,1,1,0.254202,0.251602,0.259881,180.79,181.086,37,64
