Dispatch_ID,GPU_ID,Queue_ID,PID,TID,Grid_Size,Workgroup_Size,LDS_Per_Workgroup,Scratch_Per_Workitem,Arch_VGPR,Accum_VGPR,SGPR,Wave_Size,Kernel_Name,Start_Timestamp,End_Timestamp,Correlation_ID
0,1,1,123355,123355,7680,256,0,0,16,0,128,32,"__amd_rocclr_fillBufferAligned.kd",7375107734305,7375108166067,0
1,1,1,123355,123355,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",7375927948674,7375927952914,0
2,1,1,123355,123355,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",7375927988264,7375927990984,0
3,1,1,123355,123355,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",7375928058244,7375928061204,0
4,1,1,123355,123355,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",7375939429906,7375939432986,0
5,1,1,123355,123355,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",7375939463946,7375939466626,0
6,1,1,123355,123355,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",7375939538337,7375939541337,0
7,1,1,123355,123355,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",7375951435852,7375951438892,0
8,1,1,123355,123355,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",7375951469763,7375951472523,0
9,1,1,123355,123355,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",7375951537963,7375951540803,0
10,1,1,123355,123355,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",7375962978646,7375962981886,0
11,1,1,123355,123355,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",7375963012176,7375963015136,0
12,1,1,123355,123355,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",7375973719914,7375973723194,0
13,1,1,123355,123355,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",7375973756004,7375973758804,0
14,1,1,123355,123355,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",7375973831055,7375973833975,0
15,1,1,123355,123355,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",7375984706234,7375984709594,0
16,1,1,123355,123355,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",7375984740954,7375984743554,0
17,1,1,123355,123355,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",7375984813504,7375984816424,0
18,1,1,123355,123355,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",7375995831405,7375995834485,0
19,1,1,123355,123355,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",7375995865385,7375995867905,0
20,1,1,123355,123355,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",7375995938535,7375995941415,0
21,1,1,123355,123355,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",7376007707700,7376007710940,0
22,1,1,123355,123355,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",7376007741990,7376007744631,0
23,1,1,123355,123355,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",7376017912565,7376017915725,0
24,1,1,123355,123355,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",7376017947236,7376017949836,0
25,1,1,123355,123355,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",7376018022906,7376018025786,0
26,1,1,123355,123355,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",7376029590590,7376029593630,0
27,1,1,123355,123355,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",7376029625410,7376029627930,0
28,1,1,123355,123355,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",7376029701011,7376029703931,0
29,1,1,123355,123355,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",7376041053093,7376041056213,0
30,1,1,123355,123355,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",7376041088083,7376041090564,0
31,1,1,123355,123355,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",7376041159374,7376041161974,0
32,1,1,123355,123355,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",7376053062600,7376053065360,0
33,1,1,123355,123355,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",7376053096770,7376053099170,0
34,1,1,123355,123355,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",7376061879498,7376061882178,0
35,1,1,123355,123355,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",7376061913978,7376061916258,0
36,1,1,123355,123355,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",7376061988738,7376061991338,0
37,1,1,123355,123355,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",7376071661706,7376071664866,0
38,1,1,123355,123355,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",7376071697986,7376071700226,0
39,1,1,123355,123355,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",7376071769587,7376071772187,0
40,1,1,123355,123355,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",7376081270503,7376081273143,0
41,1,1,123355,123355,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",7376081303673,7376081305913,0
42,1,1,123355,123355,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",7376081374173,7376081376694,0
43,1,1,123355,123355,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",7376092988136,7376092991096,0
44,1,1,123355,123355,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",7376093023887,7376093026327,0
45,1,1,123355,123355,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",7376102066569,7376102069209,0
46,1,1,123355,123355,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",7376102100319,7376102102599,0
47,1,1,123355,123355,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",7376102172350,7376102174950,0
48,1,1,123355,123355,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",7376111474844,7376111477525,0
